"","Z"
"87",4.195
"88",4.187
"89",4.127
"90",3.969
"91",4.198
"92",4.381
"93",3.727
"94",1.112
"95",3.535
"96",2.428
"97",4.341
"98",4.59
"99",5.125
"100",5.123
"101",3.883
"102",1.594
"103",3.135
"104",3.479
"105",4.465
"106",4.714
"107",4.694
"108",4.887
"109",4.592
"110",4.414
"111",4.055
"112",3.912
"113",4.32
"114",4.047
"115",3.77
"116",3.63
"117",2.902
"118",3.126
"119",3.56
"120",4.388
"121",4.678
"122",4.702
"123",4.786
"124",4.592
"125",4.342
"126",4.092
"127",4.036
"128",3.99
"129",3.943
"130",3.998
"131",4.893
"132",3.046
"133",3.283
"134",3.41
"135",5.136
"169",4.404
"170",4.084
"171",3.187
"172",1.704
"173",4.393
"174",4.332
"175",2.527
"176",4.17
"177",3.848
"178",3.917
"179",2.94
"180",4.745
"181",4.632
"182",4.679
"183",3.722
"184",3.262
"185",2.872
"186",2.905
"187",4.316
"188",4.437
"189",4.557
"190",4.658
"191",4.313
"192",4.038
"193",3.909
"194",3.659
"195",4.063
"196",4.203
"197",3.84
"198",3.754
"199",3.012
"200",2.823
"201",2.761
"202",3.363
"203",3.73
"204",4.379
"205",4.192
"206",4.229
"207",2.905
"208",3.139
"209",1.919
"210",4.135
"211",4.384
"212",4.98
"213",3.541
"214",3.931
"215",3.762
"216",3.33
"217",3.318
"218",4.275
"219",4.071
"220",4.576
"221",4.426
"222",4.164
"223",5.112
"224",4.179
"225",4.986
"226",4.746
"227",4.437
"228",4.6
"229",4.596
"230",4.618
"231",5.975
"232",6.57
"233",6.716
"234",6.726
"235",6.742
"236",6.619
"237",5.965
"238",4.759
"239",3.358
"240",2.562
"241",2.496
"242",3.014
"243",3.521
"244",4.066
"245",3.34
"251",4.594
"252",3.952
"253",3.939
"254",3.605
"255",4.155
"256",4.57
"257",0.535
"258",4.312
"259",4.564
"260",3.759
"261",3.882
"262",4.326
"263",4.334
"264",4.231
"265",3.463
"266",3.349
"267",3.197
"268",3.986
"269",4.412
"270",4.333
"271",4.521
"272",4.254
"273",3.524
"274",3.999
"275",3.604
"276",2.741
"277",3.902
"278",4.287
"279",3.95
"280",4.047
"281",3.344
"282",3.001
"283",2.548
"284",2.696
"285",3.611
"286",4.123
"287",4.09
"288",4.026
"289",3.451
"290",3.049
"291",4.306
"292",4.375
"293",4.73
"294",2.284
"295",3.244
"296",4.258
"297",3.579
"298",2.82
"299",2.949
"300",4.05
"301",4.259
"302",4.964
"303",4.476
"304",4.524
"305",4.462
"306",4.135
"307",4.439
"308",4.728
"309",4.502
"310",4.313
"311",5.554
"312",5.573
"313",5.627
"314",6.381
"315",6.691
"316",6.724
"317",6.515
"318",5.97
"319",5.108
"320",5.785
"321",5.009
"322",4.175
"323",2.446
"324",3.069
"325",3.296
"326",3.358
"327",10.97
"328",7.343
"333",4.162
"334",3.876
"335",4.654
"336",3.281
"337",4.695
"338",4.416
"339",4.221
"340",4.606
"341",4.645
"342",4.246
"343",4.066
"344",3.626
"345",3.331
"346",4.057
"347",3.384
"348",4.221
"349",4.237
"350",4.578
"351",4.438
"352",4.535
"353",4.413
"354",4.047
"355",3.443
"356",3.685
"357",3.558
"358",1.333
"359",2.496
"360",4.386
"361",4.569
"362",4.136
"363",2.693
"364",2.338
